CVR,Firma,Akiv,Type,Postnummer,Momsfaktor,Afdeling
53383211,Familieinst./Familiehuset Engelsborg,07/14/2007,Alternative institution,2800,,
54801610,Lomborg Gymnastik- og Idrætsefterskole,,Efterskole,,,
55134510,Instituttet for blinde og svagtseend,01/01/2011,Opholdssted med budget,2900,,
55373707,Fonden oph.st.: RISBYGÅRD,01/01/2007,Opholdssted,4750,,
55453004,Hjortholm,11/11/2002,Behandlingshjem,4250,,
55627312,Askovhus,04/01/2010,Bofællesskab,2200,,
55775214,DAB,05/01/2008,Opholdssted med budget,,,
55894009,Bogø Kostskole,01/01/2007,Kost-/efterskole,4793,,
57646233,Holdstedgaard,01/01/2011,Botilbud midlertidigt,4700,,
58626716,glamsbjerg fri og efterskole,10/01/2014,Efterskole,,,
58842117,Midtfyns efterskole,08/08/2010,Efterskole,5792,,
58937517,Ringe Fri- og Efterskole,08/13/2017,Efterskole,,,
59276417,Opholdsstedet Arken,03/29/2004,Andet,4440,,
59477218,HINDHOLM EFTERSKOLE,05/13/2009,Efterskole,4250,,
59477218,Holmstrup Efterskole,08/01/2011,Efterskole,4250,,
59541919,Osted Fri- og Efterskole,12/07/2009,Efterskole,4320,,
59575511,Tømmerup efterskole,02/01/2010,Efterskole,,,
59607316,Birkebo,01/01/2014,Socialpædagogisk opholdssted,3630,,
62924810,Dantaxi 4x48,,,,,
62924810,Dantaxi 4x48,,Transport,,"95,4%",01008
62988711,Tommerup Efterskole,,Efterskole,,,
63447412,Blykobbe Efterskole,05/01/2009,Efterskole,3700,,
63640719,Områdeinstitutionen Dildhaven,02/21/2018,Plejefamilie,2730,,
64502018,Bofællesskab Jernbane Alle,01/01/2009,Bofællesskab,3060,,
64593528,Thorshøjgård,,,,,
64942212,Børne- og familiehus Arild,08/15/2018,Andet,,,
64942212,Ertodeto,02/19/2012,Andet,2850,,
65321089,Louisenlund,01/01/2011,Botilbud midlertidigt,5300,,
65344718,Holte-Hus Efterskole,07/01/2014,Efterskole,2840,,
65462117,Klank Efterskole,,,,,
65589447,Øse efterskole,08/05/2012,Efterskole,6800,,
65655012,EFTERSKOLEN ØSTERGÅRD,07/22/2009,Efterskole,4735,,
65782413,Roholte Efterskole,08/01/2010,Efterskole,4640,,
66252817,AKUcenter Højagergaard,08/01/2011,Andet,3550,,
66408310,Stenhus Kostskole,07/01/2012,Kostskole,4300,,
67794710,Ubby Fri- og Idrætsefterskole,11/01/2013,Efterskole,4490,,
67794710,Friskolen & Idrætsefterskolen Ubby,,,,,
68513928,Hjortholm Kostskole,08/01/2014,Kostskole,4250,,
69661513,Faxehus efterskole,08/01/2010,Efterskole,4654,,
69783414,NIELSSTRUP,01/01/2007,Opholdssted,4990,,
70087316,Odsherreds Efterskole,01/11/2012,Efterskole,4540,,
70295415,Sorø Husholdningsskole,08/01/2011,Efterskole,4180,,
74577016,DSI Kollegiet Nord-lys,01/01/2014,Opholdssted,3250,,
75521755,Overmarksgården,01/01/2010,Herberg,6000,,
75711115,TAXA SYD AMBA,,,,,
75736215,AKTIV WEEKEND,01/01/2007,Opholdssted,8600,,
76409110,Kalleruphus  psyk. bo- og behand ,01/01/2007,Opholdssted med budget,2500,,
76767416,I/S Kilden,01/01/2009,Beskyttet virksomhed,4500,,
77252010,FABU-FONDEN,,,,95%,
78297212,Skolen på Slotsvænget,11/01/2013,Kostskole,3480,,
78627719,SKOVLY,01/01/2007,Opholdssted,8680,,
78637528,NORDTOFTE,01/01/2007,Opholdssted,3250,,
78887915,Startskuddet,05/01/2010,Opholdssted,4735,,
79005312,Fonden Krisecentret Røntofte,,,,,
80429959,Skrødstrup efterskole,07/01/2014,Efterskole,,,
81368813,Nordsjællands Efterskole,,,,,
81473315,Grennessminde Birkerød,01/01/2011,Værksted,3460,,
81956928,Nysted efterskole,08/01/2010,Efterskole,4880,,
83280115,Korinth Efterskole,,,,,
84414913,Landsforeningen Autisme,,,,,
